"","Target","Bee_ID","Ct","SD","Replicate","Exp_ID","Gut_dissection_batch","DNA_Plate","Plate_Well","Robot_DNAextraction_Batch","Treatment","actin_Ct","actin_CopyNum","CopyNum","CopyNum_norm"
"85","univ",89,26.023796,0.218954663974075,5,"9.63","5","1","A12","1","MD",23.7132186666667,3602960,1811056,1344904
"86","univ",90,27.0604276666667,0.153793982929546,5,"9.614","5","1","B12","1","MD",24.9098926666667,1599295,878776,1470173
"87","univ",91,26.9725576666667,0.0921554784390672,5,"9.250","5","1","C12","1","MD",23.864054,3252365,934327,768632
"88","univ",92,25.521976,0.151037838318747,5,"9.55","5","1","D12","1","MD",22.3299386666667,9212850,2570165,746425
"89","univ",93,26.922112,0.0819374003248831,5,"9.5","5","1","E12","1","MD",23.7225736666667,3580156,967791,723267
"90","univ",94,27.0732563333333,0.0813545059190532,5,"9.49","5","1","F12","1","MD",25.3585916666667,1179425,870947,1975788
"91","univ",95,16.1558773333333,0.136323037427038,5,"10.124","5","1","G12","1","CL",23.3794443333333,4519002,1767969777,1046769881
"92","univ",96,18.253901,0.0721796124747136,5,"10.81","5","1","H12","1","CL",24.8822403333333,1629594,409134808,671747297
"93","univ",97,17.8714493333333,0.795068923411255,5,"10.268","5","2","A1","2","CL",23.9235243333333,3123704,534235046,457595153
"94","univ",98,17.420783,0.196687408041286,5,"10.599","5","2","B1","2","CL",23.8837575,3209161,731584250,609946518
"95","univ",99,17.6391905,0.111221532719611,5,"10.127","5","2","C1","2","CL",24.245038,2511312,628197974,669290675
"96","univ",100,15.9988006666667,0.438506956466295,5,"10.242","5","2","D1","2","CL",23.1961936666667,5117494,1972704891,1031391847
"97","univ",101,16.683691,0.494724682659962,5,"10.580","5","2","E1","2","CL",23.5318196666667,4075008,1223406075,803269139
"98","univ",102,17.490158,0.0141124371389204,5,"10.260","5","2","F1","2","CL",23.6531613333333,3752856,697022487,496939826
"99","univ",103,15.9245185,0.048881584676645,5,"10.158","5","2","G1","2","CL",23.8261395,3337144,2077621034,1665751838
"100","univ",104,17.787297,0.0848840282208627,5,"10.42","5","2","H1","2","CL",24.919328,1589086,566535085,953890061
"101","univ",106,20.192371,0.299896713823276,6,"11.564","6","2","B2","2","MD",24.4263056666667,2220600,105826816,127510019
"102","univ",107,20.7364526666667,0.186509013083373,6,"11.148","6","2","C2","2","MD",24.231982,2533664,72404080,76459761
"103","univ",108,21.7779635,0.308555236358905,6,"11.115","6","2","D2","2","MD",23.9139555,3144057,35013160,29796127
"104","univ",109,20.250426,0.318178252544072,6,"11.113","6","2","E2","2","MD",23.2728386666667,4858089,101626655,55970744
"105","univ",110,23.4385455,0.0713817224540008,6,"11.492","6","2","F2","2","MD",24.1386186666667,2699410,10993814,10896787
"106","univ",111,16.6479373333333,0.251913286303708,6,"11.135","6","2","G2","2","MD",22.0661076666667,11019468,1254302861,304551470
"107","univ",112,19.081386,0.237501067441812,6,"11.5","6","2","H2","2","MD",22.5533403333333,7916702,229707440,77633592
"108","univ",113,19.7947795,0.0618796215284154,6,"11.82","6","2","A3","2","MD",22.446658,8511183,139652390,43901298
"109","univ",114,18.992927,0.155672796856099,6,"11.142","6","2","B3","2","MD",22.4944476666667,8239549,244328555,79339544
"110","univ",115,21.9912605,0.0121898138008749,6,"11.85","6","2","C3","2","MD",24.8554673333333,1659476,30172531,48647405
"111","univ",116,16.639847,0.481599114957657,6,"12.202","6","2","D3","2","CL",24.5443053333333,2049693,1261401741,1646582605
"112","univ",117,15.2562306666667,0.290508435678438,6,"12.665","6","2","E3","2","CL",22.2205583333333,9922815,3311524700,892918907
"113","univ",118,17.168211,0.193476401703155,6,"12.135","6","2","F3","2","CL",23.46941,4251325,872534274,549132444
"114","univ",119,16.0619755,0.132113709676551,6,"12.117","6","2","G3","2","CL",22.7408723333333,6970557,1887656379,724560029
"115","univ",120,18.2859185,0.919819350209865,6,"12.27","6","2","H3","2","CL",24.1770596666667,2629892,400098149,407049798
"116","univ",121,16.767115,0.534899409909937,6,"12.209","6","2","A4","2","CL",23.775675,3453423,1154241936,894264492
"117","univ",122,16.473929,0.0389601694298146,6,"12.50","6","2","B4","2","CL",22.252979,9706856,1416182567,390354843
"118","univ",123,16.656063,0.376144038038621,6,"12.215","6","2","C4","2","CL",24.6029136666667,1969761,1247213190,1694127435
"119","univ",124,17.93214,0.880298445102569,6,"12.227","6","2","D4","2","CL",24.985881,1518904,512089399,902057817
"120","univ",125,16.6009943333333,0.200674843008119,6,"12.229","6","2","E4","2","CL",23.708917,3613494,1296056893,959656133
"121","univ",127,20.1672815,0.0835920423515285,7,"13.114","7","2","G4","2","MD",24.2746085,2461413,107695297,117066103
"122","univ",128,24.845159,0.179687947984833,7,"13.433","6","2","H4","2","MD",25.9749016666667,776260,4121039,14204254
"123","univ",129,20.2343973333333,0.191157911793715,7,"13.356","6","2","A5","2","MD",22.6283045,7523985,102769350,36545559
"124","univ",130,22.8135005,0.0782717709298809,7,"13.52","6","2","B5","2","MD",23.526952,4088493,17002367,11126666
"125","univ",131,23.581704,0.025214013603551,7,"13.395","6","2","C5","2","MD",25.0203083333333,1483825,9948960,17939648
"126","univ",132,24.6304005,0.0742582328398678,7,"13.25","6","2","D5","2","MD",24.663639,1890228,4787062,6776006
"127","univ",133,22.75803,0.138083812230109,7,"13.215","6","2","E5","2","MD",25.521263,1056140,17673171,44772558
"128","univ",134,21.6709166666667,0.15601642410443,7,"13.81","6","2","F5","2","MD",25.458936,1101775,37727825,91619469
"129","univ",135,21.4254465,0.020426193588134,7,"13.475","6","2","G5","2","MD",24.0977895,2775259,44774255,43166195
"130","univ",136,24.1054145,0.0670938269328866,7,"13.324","6","2","H5","2","MD",25.314173,1215523,6904251,15197505
"131","univ",137,16.055621,0.189799617199297,7,"14.475","6","2","A6","2","CL",23.7765945,3451269,1896042521,1469901310
